date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:01	20020/20020	---M--	200	added ('OK')	image/png	etag:%225930450b-4e34%22	https://2015.dconstruct.org/assets/img/speakers/ingrid-burrington.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/ingrid-burrington.png	(from https://2015.dconstruct.org/speaker/ingrid-burrington)
15:37:01	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Apr%202021%2010:07:00%20GMT	http://2015.dconstruct.org/assets/img/speakers/john-willshire.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/john-willshire.png	(from https://2015.dconstruct.org/speaker/john-willshire)
15:37:01	16155/16155	---M--	200	added ('OK')	image/png	etag:%225930450b-3f1b%22	https://2015.dconstruct.org/assets/img/speakers/john-willshire.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/john-willshire.png	(from https://2015.dconstruct.org/speaker/john-willshire)
15:37:02	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Apr%202021%2010:07:01%20GMT	http://2015.dconstruct.org/assets/img/speakers/josh-clark.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/josh-clark.png	(from https://2015.dconstruct.org/speaker/josh-clark)
15:37:02	17411/17411	---M--	200	added ('OK')	image/png	etag:%225930450b-4403%22	https://2015.dconstruct.org/assets/img/speakers/josh-clark.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/josh-clark.png	(from https://2015.dconstruct.org/speaker/josh-clark)
15:37:03	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Apr%202021%2010:07:02%20GMT	http://2015.dconstruct.org/assets/img/speakers/mark-stevenson.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/mark-stevenson.png	(from https://2015.dconstruct.org/speaker/mark-stevenson)
15:37:03	281/281	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Apr%202021%2010:07:02%20GMT	https://2015.dconstruct.org/assets/img/speakers/mark-stevenson.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/mark-stevenson.png	(from https://2015.dconstruct.org/speaker/mark-stevenson)
15:37:03	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Apr%202021%2010:07:02%20GMT	http://2015.dconstruct.org/assets/img/speakers/matt-novak.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/matt-novak.png	(from https://2015.dconstruct.org/speaker/matt-novak)
15:37:04	15882/15882	---M--	200	added ('OK')	image/png	etag:%225930450b-3e0a%22	https://2015.dconstruct.org/assets/img/speakers/matt-novak.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/matt-novak.png	(from https://2015.dconstruct.org/speaker/matt-novak)
15:37:04	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Apr%202021%2010:07:03%20GMT	http://2015.dconstruct.org/assets/img/speakers/nick-foster.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/nick-foster.png	(from https://2015.dconstruct.org/speaker/nick-foster)
15:37:05	17339/17339	---M--	200	added ('OK')	image/png	etag:%225930450b-43bb%22	https://2015.dconstruct.org/assets/img/speakers/nick-foster.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/nick-foster.png	(from https://2015.dconstruct.org/speaker/nick-foster)
15:37:05	36248/36248	---MCZ	200	added ('OK')	text/css	etag:W/%225930450b-8d98%22	https://2015.dconstruct.org/assets/css/all.css	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/css/all.css	(from https://2015.dconstruct.org/podcast)
15:37:06	281/281	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Apr%202021%2010:07:05%20GMT	https://2015.dconstruct.org/IngridBurrington.mp3	C:/Work/Torque/deconstruct22/2015.dconstruct.org/IngridBurrington.mp3	(from https://2015.dconstruct.org/podcast)
15:37:06	281/281	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Apr%202021%2010:07:05%20GMT	https://2015.dconstruct.org/JoshClark.mp3	C:/Work/Torque/deconstruct22/2015.dconstruct.org/JoshClark.mp3	(from https://2015.dconstruct.org/podcast)
15:37:06	281/281	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Apr%202021%2010:07:05%20GMT	https://2015.dconstruct.org/MattNovak.mp3	C:/Work/Torque/deconstruct22/2015.dconstruct.org/MattNovak.mp3	(from https://2015.dconstruct.org/podcast)
